GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,StateAdapter,32,0,0,0,13,0,13,0,13,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,WatchReplay,24,0,2,0,7,0,4,0,3,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,EndGame,18,0,2,0,7,0,4,0,3,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,WaitPlayersNameAndType,50,0,10,0,9,0,9,0,4,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,MinigameForSpecialPiece,49,0,4,0,13,0,6,0,4,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,ChooseOption,24,0,0,0,5,0,5,0,5,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.estados,Game,128,0,18,0,22,0,16,0,7,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.minigames,TypingMinigame,849,0,18,0,172,0,17,0,8,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.minigames,MathMinigame,2,152,2,17,1,30,3,15,1,6
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.minigames,MinigameFactory,29,0,5,0,8,0,5,0,2,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.minigames,MathMinigame.Operators,0,39,0,0,0,6,0,2,0,2
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.minigames,MinigameAdapter,4,51,0,4,2,8,2,10,2,8
4-em-linha,pt.isec.angelopaiva.jogo.logica.comandos,PlacePieceOnColumn,23,0,0,0,7,0,3,0,3,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.comandos,PlaceSpecialPieceOnColumn,36,0,0,0,9,0,3,0,3,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.comandos,CommandAdapter,10,0,0,0,5,0,3,0,3,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.comandos,UpdateJogo,21,0,0,0,6,0,3,0,3,0
4-em-linha,pt.isec.angelopaiva.jogo.texto,JogoCLI,388,0,46,0,94,0,37,0,8,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados,Jogo,379,549,31,87,60,72,50,60,30,20
4-em-linha,pt.isec.angelopaiva.jogo,JogoAppCLI,15,0,0,0,5,0,2,0,2,0
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.players,Player,30,12,0,0,6,5,6,1,6,1
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.players,PlayerHuman,8,20,0,0,3,6,3,3,3,3
4-em-linha,pt.isec.angelopaiva.jogo.logica.dados.players,PlayerAI,18,0,0,0,8,0,6,0,6,0
4-em-linha,pt.isec.angelopaiva.jogo.logica,AppStates,39,0,0,0,7,0,1,0,1,0
4-em-linha,pt.isec.angelopaiva.jogo.logica,CommandManager,121,0,26,0,23,0,19,0,6,0
4-em-linha,pt.isec.angelopaiva.jogo.logica,StateMachine,263,0,10,0,64,0,45,0,40,0
4-em-linha,pt.isec.angelopaiva.jogo.logica,TypePiece,0,21,0,0,0,4,0,1,0,1
4-em-linha,pt.isec.angelopaiva.jogo.logica,JogoManager,229,0,0,0,53,0,42,0,42,0
4-em-linha,pt.isec.angelopaiva.jogo.logica,JogoStates,0,27,0,0,0,5,0,1,0,1
4-em-linha,pt.isec.angelopaiva.jogo.logica,JogoObservable,326,0,12,0,76,0,40,0,34,0
4-em-linha,pt.isec.angelopaiva.jogo.logica,Property,27,0,0,0,5,0,1,0,1,0
4-em-linha,pt.isec.angelopaiva.jogo.utils,UtilsCLI,192,0,24,0,40,0,20,0,8,0
4-em-linha,pt.isec.angelopaiva.jogo.utils,UtilsFiles,291,0,30,0,80,0,28,0,13,0
